../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1440,1057,1540,1158,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1303,868,1403,971,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,900,578,1008,689,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,611,304,713,408,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,881,198,1003,312,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1480,193,1574,293,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1384,257,1502,364,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,302,430,392,533,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1191,747,1308,863,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,454,992,552,1087,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1326,755,1433,862,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,120,389,210,475,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,408,349,500,428,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,622,845,746,956,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,83,73,199,186,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1147,836,1234,943,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,233,349,340,441,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,418,229,515,333,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,742,724,852,825,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,267,229,357,331,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1330,977,1416,1059,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,342,832,445,943,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1035,139,1147,240,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,178,150,291,263,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,516,51,638,158,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1076,700,1181,809,red blood cell
../malaria_culture_data/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1296,357,1403,456,red blood cell
